ts,visits
2025-01-01 00:00:00,62
2025-01-01 00:01:00,29
2025-01-01 00:02:00,73
2025-01-01 00:03:00,45
2025-01-01 00:04:00,6
2025-01-01 00:05:00,22
2025-01-01 00:06:00,58
2025-01-01 00:07:00,47
2025-01-01 00:08:00,54
2025-01-01 00:09:00,33
2025-01-01 00:10:00,77
2025-01-01 00:11:00,74
2025-01-01 00:12:00,56
2025-01-01 00:13:00,83
2025-01-01 00:14:00,66
2025-01-01 00:15:00,33
2025-01-01 00:16:00,64
2025-01-01 00:17:00,31
2025-01-01 00:18:00,77
2025-01-01 00:19:00,54
2025-01-01 00:20:00,51
2025-01-01 00:21:00,38
2025-01-01 00:22:00,86
2025-01-01 00:23:00,51
2025-01-01 00:24:00,45
2025-01-01 00:25:00,47
2025-01-01 00:26:00,69
2025-01-01 00:27:00,65
2025-01-01 00:28:00,66
2025-01-01 00:29:00,67
2025-01-01 00:30:00,109
2025-01-01 00:31:00,46
2025-01-01 00:32:00,43
2025-01-01 00:33:00,36
2025-01-01 00:34:00,72
2025-01-01 00:35:00,85
2025-01-01 00:36:00,54
2025-01-01 00:37:00,36
2025-01-01 00:38:00,36
2025-01-01 00:39:00,73
2025-01-01 00:40:00,76
2025-01-01 00:41:00,71
2025-01-01 00:42:00,41
2025-01-01 00:43:00,63
2025-01-01 00:44:00,60
2025-01-01 00:45:00,63
2025-01-01 00:46:00,80
2025-01-01 00:47:00,64
2025-01-01 00:48:00,75
2025-01-01 00:49:00,60
2025-01-01 00:50:00,66
2025-01-01 00:51:00,74
2025-01-01 00:52:00,22
2025-01-01 00:53:00,51
2025-01-01 00:54:00,47
2025-01-01 00:55:00,43
2025-01-01 00:56:00,53
2025-01-01 00:57:00,97
2025-01-01 00:58:00,38
2025-01-01 00:59:00,84
2025-01-01 01:00:00,18
2025-01-01 01:01:00,52
2025-01-01 01:02:00,65
2025-01-01 01:03:00,75
2025-01-01 01:04:00,79
2025-01-01 01:05:00,81
2025-01-01 01:06:00,53
2025-01-01 01:07:00,50
2025-01-01 01:08:00,83
2025-01-01 01:09:00,57
2025-01-01 01:10:00,30
2025-01-01 01:11:00,34
2025-01-01 01:12:00,40
2025-01-01 01:13:00,75
2025-01-01 01:14:00,67
2025-01-01 01:15:00,81
2025-01-01 01:16:00,53
2025-01-01 01:17:00,68
2025-01-01 01:18:00,80
